name,Wind.slope_distribution,Wind.slope_hyperparams,Wind.threshold_distribution,Wind.threshold_hyperparams,DayPrecip.slope_distribution,DayPrecip.slope_hyperparams,DayPrecip.threshold_distribution,DayPrecip.threshold_hyperparams,WindStorm.slope_distribution,WindStorm.slope_hyperparams,WindStorm.threshold_distribution,WindStorm.threshold_hyperparams
1,constant,0.2,constant,65,,,,,,,,
2,constant,0.2,norm,"[65, 1.5]",,,,,,,,
3,constant,0.2,norm,"[65, 3]",,,,,,,,
4,constant,0.2,norm,"[65, 4.5]",,,,,,,,
5,constant,0.2,constant,70,,,,,,,,
6,constant,0.2,norm,"[70, 2]",,,,,,,,
7,constant,0.2,norm,"[70, 4]",,,,,,,,
8,constant,0.2,norm,"[70, 6]",,,,,,,,
9,constant,0.2,constant,75,,,,,,,,
10,constant,0.2,norm,"[75, 2.5]",,,,,,,,
11,constant,0.2,norm,"[75, 5]",,,,,,,,
12,constant,0.2,norm,"[75, 7.5]",,,,,,,,
13,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.8, ""params"": [65,1e-7]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,1e-7]}]",,,,,,,,
14,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.8, ""params"": [65,1.5]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,2]}]",,,,,,,,
15,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.8, ""params"": [65,3]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,4]}]",,,,,,,,
16,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.1, ""params"": [50,1e-7]},{""distribution"": ""norm"",""weight"": 0.7, ""params"": [65,1e-7]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,1e-7]}]",,,,,,,,
17,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.1, ""params"": [50,1.5]},{""distribution"": ""norm"",""weight"": 0.7, ""params"": [65,1.5]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,2]}]",,,,,,,,
18,constant,0.2,GMM,"[{""distribution"": ""norm"",""weight"": 0.1, ""params"": [50,2]},{""distribution"": ""norm"",""weight"": 0.7, ""params"": [65,3]},{""distribution"": ""norm"",""weight"": 0.2, ""params"": [70,4]}]",,,,,,,,
19,constant,0.2,constant,65,constant,5,constant,0,,,,
24,constant,0.2,constant,70,constant,5,constant,0,,,,
28,constant,0.2,constant,75,constant,5,constant,0,,,,